ProductId,UserId,Score

 B003AI2VGA, A328S9RN3U5M68, 3.0,
 B003AI2VGA, A1I7QGUDP043DG, 5.0,
 B003AI2VGA, A1M5405JH9THP9, 3.0,
 B003AI2VGA, ATXL536YX71TR, 3.0,
 B003AI2VGA, A3QYDL5CDNYN66, 2.0,
 B003AI2VGA, AQJVNDW6YZFQS, 1.0,
 B00006HAXW, AD4CDZK7D31XP, 5.0,
 B00006HAXW, A3Q4S5DFVPB70D, 5.0,
 B00006HAXW, A2P7UB02HAVEPB, 5.0,
 B00006HAXW, A2TX99AZKDK0V7, 4.0,
 B00006HAXW, AFC8IKR407HSK, 5.0,
 B00006HAXW, A1FRPGQYQTAOR1, 5.0,
 B00006HAXW, A1RSDE90N6RSZF, 5.0,
 B00006HAXW, A1OUBOGB5970AO, 4.0,
 B00006HAXW, A3NPHQVIY59Y0Y, 5.0,
 B00006HAXW, AFKMBAY28XO8A, 5.0,
 B00006HAXW, A66KMXH9V7OGU, 5.0,
 B00006HAXW, AFJ27ZV9183B8, 5.0,